geoid	detail	st_fip	cty_fip	trt_fip	state	county	pop_tot	pop_wht	pop_blk	pop_his	pop_asi	pop_two	pop_oth	pop_nat	pop_isl	pop_nw	emp_une	emp_emp	ed_grad	ed_bs	ed_as	ed_hs	ed_l_hs	med_inc
17031062100	Census Tract 621, Cook County, Illinois	17	031	062100	Illinois	Cook County	3595	0.847009735744089	0.021974965229485395	0.054242002781641166	0.062308762169680114	0.014464534075104311	0	0	0	0.152990264255911	0.03861003861003861	0.9613899613899614	0.23618090452261306	0.5104091888011486	0.03409906676238335	0.20172290021536252	0.017587939698492372	91250
17031062200	Census Tract 622, Cook County, Illinois	17	031	062200	Illinois	Cook County	2697	0.8468668891360771	0.041898405635891735	0.04004449388209121	0.061549870226177236	0.0096403411197627	0	0	0	0.1531331108639229	0.04884792626728111	0.9511520737327189	0.35879743716116314	0.4933464760965993	0.029078363725973385	0.11877772301626417	0	107073
17031062300	Census Tract 623, Cook County, Illinois	17	031	062300	Illinois	Cook County	1611	0.8553693358162632	0.004345127250155183	0.040968342644320296	0.06765983860955928	0.03165735567970205	0	0	0	0.14463066418373682	0.06152584085315833	0.9384741591468416	0.326271186440678	0.5745762711864407	0.007627118644067797	0.08389830508474576	0.007627118644067732	133542
17031062400	Census Tract 624, Cook County, Illinois	17	031	062400	Illinois	Cook County	1517	0.8661832564271589	0.01845748187211602	0.05207646671061305	0.047462096242584045	0.015820698747528016	0	0	0	0.13381674357284112	0.01990521327014218	0.9800947867298578	0.3460236886632826	0.48307952622673433	0.012690355329949238	0.12859560067681894	0.029610829103214886	120833
17031062500	Census Tract 625, Cook County, Illinois	17	031	062500	Illinois	Cook County	1383	0.8467100506146059	0	0.05856832971800434	0.07230657989877079	0.022415039768618944	0	0	0	0.1532899493853941	0.009596928982725527	0.9904030710172744	0.3753581661891118	0.5348615090735435	0.0019102196752626551	0.087870105062082135	0	106771
17031062600	Census Tract 626, Cook County, Illinois	17	031	062600	Illinois	Cook County	2317	0.716012084592145	0.0146741476046612	0.12257229175658178	0.10099266292619767	0.04574881312041433	0	0	0	0.28398791540785495	0.05907473309608541	0.9409252669039145	0.343093570973902	0.452577975811585	0.02864417568427753	0.12094207511139402	0.054742202418841535	110938
17031062700	Census Tract 627, Cook County, Illinois	17	031	062700	Illinois	Cook County	2860	0.8758741258741258	0.0034965034965034965	0.06328671328671329	0.013636363636363636	0.043706293706293704	0	0	0	0.12412587412587417	0.02845100105374078	0.9715489989462592	0.3566137566137566	0.4148148148148148	0.04708994708994709	0.14126984126984127	0.040211640211640365	105813
17031062800	Census Tract 628, Cook County, Illinois	17	031	062800	Illinois	Cook County	3500	0.8628571428571429	0.016285714285714285	0.052571428571428575	0.04342857142857143	0.024857142857142855	0	0	0	0.13714285714285712	0.02531645569620253	0.9746835443037974	0.35918854415274465	0.5167064439140812	0.031424025457438345	0.07398568019093078	0.01869530628480498	125156
17031062900	Census Tract 629, Cook County, Illinois	17	031	062900	Illinois	Cook County	4217	0.865307090348589	0.023002134218638844	0.03509603983874793	0.061180934313493	0.015413801280531183	0	0	0	0.134692909651411	0.009085402786190187	0.9909145972138098	0.3322507307567392	0.5219227021760312	0.03150373497888925	0.09970769730431958	0.014615134784020767	125000
17031063000	Census Tract 630, Cook County, Illinois	17	031	063000	Illinois	Cook County	3160	0.7474683544303797	0.036075949367088606	0.09778481012658227	0.09177215189873418	0.024683544303797468	0	0	0.0022151898734177216	0.25253164556962027	0.042643104110641566	0.9573568958893585	0.3247794707297514	0.5425020048115478	0.015236567762630313	0.09061748195669607	0.026864474739374478	84412
17031063100	Census Tract 631, Cook County, Illinois	17	031	063100	Illinois	Cook County	2454	0.8447432762836186	0.007334963325183374	0.04319478402607987	0.04930725346373268	0.05541972290138549	0	0	0	0.15525672371638144	0.010121457489878543	0.9898785425101214	0.36549062844542446	0.4415656008820287	0.046857772877618525	0.14332965821389196	0.002756339581036382	90429
17031063200	Census Tract 632, Cook County, Illinois	17	031	063200	Illinois	Cook County	6942	0.797752808988764	0.04148660328435609	0.031835205992509365	0.11279170267934313	0.012244309997118986	0.0038893690579083835	0	0	0.202247191011236	0.05310474597532929	0.9468952540246707	0.38748627881448955	0.4079765825100622	0.029454811562385656	0.14837175265276253	0.026710574460300007	57350
17031063301	Census Tract 633.01, Cook County, Illinois	17	031	063301	Illinois	Cook County	2637	0.7318923018581721	0.07660219946909366	0.07811907470610542	0.06408797876374668	0.04929844520288206	0	0	0	0.2681076981418279	0.030467899891186073	0.969532100108814	0.2556681138446696	0.3888084901109503	0.056439942112879886	0.27013989387361315	0.02894356005788712	40789
17031063302	Census Tract 633.02, Cook County, Illinois	17	031	063302	Illinois	Cook County	4219	0.7892865607963973	0.007584735719364778	0.050722920123251955	0.12941455321166154	0.0182507703247215	0.004740459824602986	0	0	0.21071343920360275	0.01344590368980613	0.9865540963101939	0.3823618242222893	0.46028390214436726	0.02959830866807611	0.11869525823014195	0.009060706735125379	64991
17031063303	Census Tract 633.03, Cook County, Illinois	17	031	063303	Illinois	Cook County	1166	0.8319039451114922	0.026586620926243566	0.07375643224699828	0.05917667238421955	0.008576329331046312	0	0	0	0.16809605488850776	0.09612403100775194	0.9038759689922481	0.32540437678401524	0.34157944814462415	0.02759276879162702	0.22930542340627974	0.07611798287345395	67857
17031063400	Census Tract 634, Cook County, Illinois	17	031	063400	Illinois	Cook County	1958	0.8084780388151175	0.06077630234933606	0.06281920326864147	0.04851889683350358	0.01940755873340143	0	0	0	0.19152196118488252	0.015037593984962405	0.9849624060150376	0.2764890282131661	0.5429467084639499	0.052664576802507836	0.10909090909090909	0.018808777429467072	83333
